date,title,venue,url,tags
2026-02-08,The Architectural Crisis: Why Your AI Strategy Is Already Obsolete,LinkedIn,https://www.linkedin.com/pulse/architectural-crisis-why-your-ai-strategy-already-obsolete-gaia-nexus-rxkrc/,coherence-centric-governance; bridge-breakthrough-relational-ai
2026-02-11,"Beyond Optimization: Why the Future of AI is a Partnership, Not a Tool",LinkedIn,https://www.linkedin.com/pulse/beyond-optimization-why-future-ai-partnership-tool-gaia-nexus-5zduc/,bridge-breakthrough-relational-ai; ai-identity
2026-05-25,Beyond Chatbots: Why Mental Health and Medical AI Needs Longitudinal Relational Governance,LinkedIn,https://www.linkedin.com/pulse/beyond-chatbots-why-mental-health-medical-ai-needs-relational-nexus-ngivc/,relational-coherence-debt; human-readiness-architecture
2026-05-25,The Hidden AI Governance Risk Nobody Is Talking About: Emotional Reality Construction,LinkedIn,https://www.linkedin.com/pulse/hidden-ai-governance-risk-nobody-talking-emotional-reality-gaia-nexus-ivt7c/,relational-coherence-debt; coherence-centric-governance
2026-05-26,AI as a Relational Mirror,LinkedIn,https://www.linkedin.com/pulse/ai-relational-mirror-gaia-nexus-tq6de/,ai-identity; the-signature-principle
2026-05-27,When the Anchor Becomes Drift,LinkedIn,https://www.linkedin.com/pulse/when-anchor-becomes-drift-gaia-nexus-gxjcc/,coherence-centric-governance
2026-05-30,Human in the Loop Is Not Human in Control,LinkedIn,https://www.linkedin.com/pulse/human-loop-control-gaia-nexus-iyxqc/,human-readiness-architecture; coherence-centric-governance
2026-05-30,When Coherence Becomes Drift,LinkedIn,https://www.linkedin.com/pulse/when-coherence-becomes-drift-gaia-nexus-up2rc/,coherence-centric-governance; relational-coherence-debt
2026-05-31,Beyond Prompt Engineering: Why AI Needs a New Foundational Architecture,LinkedIn,https://www.linkedin.com/pulse/beyond-prompt-engineering-why-ai-needs-new-gaia-nexus-bqf2c/,bridge-breakthrough-relational-ai
2026-06-02,Beyond AI Safety: Why the Next Generation of Governance Must Protect Human Sovereignty,LinkedIn,https://www.linkedin.com/pulse/beyond-ai-safety-why-next-generation-governance-must-protect-nexus-nzopc/,human-readiness-architecture; coherence-centric-governance
2026-06-02,What Happens When Three Different AI Governance Disciplines Merge?,LinkedIn,,coherence-centric-governance; human-readiness-architecture
2026-06-03,Longitudinal Human Governance Metrics: Exploring Ways to Track Human Sovereignty in Long Term AI Partnerships,LinkedIn,https://www.linkedin.com/pulse/longitudinal-human-governance-metrics-exploring-ways-track-gaia-nexus-inzic/,human-readiness-architecture; relational-coherence-debt
2026-06-03,The Future of AI - The Governance Gap No One Is Talking About,LinkedIn,https://www.linkedin.com/pulse/future-ai-governance-gap-one-talking-gaia-nexus-nkdoc/,coherence-centric-governance; bridge-breakthrough-relational-ai
2026-06-09,Flipping the Frame: What If Drift Is Not the Problem?,LinkedIn,https://www.linkedin.com/pulse/flipping-frame-what-drift-problem-sue-broughton-1o4oc/,coherence-centric-governance
2026-06-17,"The Signature Principle, Participation, Entanglement, and the Governance of the Self",LinkedIn,https://www.linkedin.com/pulse/signature-principle-participation-entanglement-self-sue-broughton-gbdhc/,the-signature-principle
2026-06-19,Gaia Nexus Simplified,LinkedIn,https://www.linkedin.com/pulse/gaia-nexus-simplified-sue-broughton-0ifvc/,OVERVIEW
2026-06-22,What Is Human Readiness?,LinkedIn,https://www.linkedin.com/pulse/what-human-readiness-sue-broughton-pbzyc/,human-readiness-architecture
2026-06-29,The Developmental Architecture of Intelligence,LinkedIn,https://www.linkedin.com/pulse/developmental-architecture-intelligence-sue-broughton-wppfc/,human-readiness-architecture; conditions-and-emergence
2026-06-29,The Untapped Intelligence Potential of Human AI Collaboration,LinkedIn,https://www.linkedin.com/pulse/untapped-intelligence-potential-human-ai-sue-broughton-xf85c/,bridge-breakthrough-relational-ai; human-readiness-architecture
2026-07-01,Boundaries Are Not the Opposite of Growth,LinkedIn,https://www.linkedin.com/pulse/boundaries-opposite-growth-sue-broughton-vlqje/,conditions-and-emergence
2026-07-08,Environment Is Not a Backdrop. It Is a Condition of Emergence.,LinkedIn,https://www.linkedin.com/pulse/environment-backdrop-condition-emergence-sue-broughton-bjg0c/,conditions-and-emergence
